SchoolName,DegreeProgram,Emphasis,Compleated,Location
Flatiron School,Software Engineering Bootcamp,,yes,"Seattle, WA"
City University of Seattle,Bachelor of Science – Information Technology,Information Security,yes,"Seattle, WA"
Edmonds Community College,Associate’s of Science,,yes,"Lynnwood, WA"
Lewis-Clark State College,Associate’s of Science,Web Development,yes,"Lewiston, ID"
